eiffel	java	0.320374
coffee	palm	0.249308
c	pascal	0.319409
c	python	-0.001959
erlang	python	0.320374
lisp	python	0.130054
cocoa	malt	0.384441
cobol	lisp	0.320374
pascal	python	0.110010
cappuccino	espresso	0.688819
espresso	malt	0.454737
java	lisp	0.171504
eiffel	erlang	0.320374
delphi	ruby	0.320374
cappuccino	coffee	0.662550
python	ruby	0.261666
beer	python	0.005949
c	erlang	0.320374
delphi	pascal	0.320374
eiffel	lisp	0.320374
cappuccino	malt	0.346289
fortran	lisp	0.320374
c	delphi	0.320374
beer	espresso	0.427523
pascal	ruby	0.224948
coffee	java	0.650481
cobol	java	0.320374
beer	soap	0.192444
delphi	eiffel	0.320374
cocoa	java	0.325958
cobol	eiffel	0.320374
espresso	tea	0.326352
beer	coffee	0.514172
fortran	pascal	0.320374
coffee	malt	0.445879
eiffel	pascal	0.320374
java	malt	0.345765
cocoa	palm	0.213080
lisp	pascal	0.187272
erlang	pascal	0.320374
cocoa	ruby	0.223045
lemonade	malt	0.342168
beer	cocoa	0.256649
cobol	delphi	0.320374
fortran	python	0.320374
cocoa	lemonade	0.229653
coffee	espresso	0.661683
beer	tea	0.369669
lisp	ruby	0.235241
c	lisp	0.051628
beer	java	0.416557
beer	cappuccino	0.415526
cobol	ruby	0.320374
java	pascal	0.322257
beer	malt	0.581298
cappuccino	tea	0.313493
erlang	java	0.320374
coffee	soap	0.260015
cobol	soap	0.320374
java	soap	0.139967
eiffel	python	0.320374
java	tea	0.370954
erlang	ruby	0.320374
fortran	soap	0.320374
erlang	fortran	0.320374
delphi	python	0.320374
cocoa	tea	0.360703
erlang	lisp	0.320374
python	soap	0.053005
cappuccino	java	0.536039
cocoa	python	0.047485
delphi	erlang	0.320374
fortran	ruby	0.320374
eiffel	fortran	0.320374
eiffel	ruby	0.320374
espresso	java	0.567435
cocoa	espresso	0.329174
cappuccino	lemonade	0.454867
c	eiffel	0.320374
delphi	lisp	0.320374
c	java	0.101575
java	palm	0.186613
cocoa	coffee	0.523138
espresso	lemonade	0.418303
java	python	0.125391
java	lemonade	0.339418
malt	tea	0.337000
c	fortran	0.320374
cobol	python	0.320374
c	ruby	0.108395
coffee	lemonade	0.460753
cobol	erlang	0.320374
coffee	tea	0.563529
cappuccino	cocoa	0.267725
c	cobol	0.320374
soap	tea	0.242222
cobol	pascal	0.320374
lemonade	tea	0.378082
beer	lemonade	0.499606
delphi	fortran	0.320374
cobol	fortran	0.320374
delphi	java	0.320374
fortran	java	0.320374
java	ruby	0.201577
lemonade	soap	0.255049
